wics_name,3개월,6개월,9개월,12개월
IT서비스,24.784232843265283,28.104080079544826,22.803680058210734,27.394564524430905
가구,20.658600970522784,0.902706245179786,1.1568736457277384,-5.210453977600217
가스유틸리티,40.72641120035883,22.920018164923903,21.108346562433653,26.188954058526225
가정용기기와용품,16.680921518357085,-9.384319519311521,1.1517183876581143,1.7557888168937648
가정용품,7.644160362876094,1.2463777709909063,-0.2546945019834001,6.894292364013334
건강관리기술,19.409723121874528,16.090050594343065,9.172164290274528,12.914687418118163
건강관리업체및서비스,31.23226082058675,26.58588879666949,2.2722339700096392,7.62917498378975
건강관리장비와용품,5.375818765011651,1.0220808476622434,5.882220454723875,55.819115651537
건설,22.09093053657513,18.32284524528776,51.951522088662394,81.00335318546014
건축자재,8.47226500915137,21.732395752102523,6.724475603757102,34.32264206767324
건축제품,1.997334796879791,5.611211831809459,11.921415721506191,11.637010194165214
게임엔터테인먼트,31.18080081041289,5.7697458057967514,5.933236232371592,1.4972512414717896
광고,0.7887742024534296,0.29101628050658057,-3.045102891403726,-8.498589607404462
교육서비스,8.996115074403292,4.320128857641638,-0.41233345772016783,0.40054639987514484
기계,7.7486582760694604,5.823637139328426,7.450459212473571,56.14132595230544
기타금융,23.794663397792537,29.85744398697143,23.122418905775344,46.27306461183472
다각화된통신서비스,17.659137577002053,3.696098562628337,5.338809034907597,26.07802874743326
도로와철도운송,34.082967617389116,21.856362010117,334.87701303411745,219.96134808365318
디스플레이장비및부품,1.6443828390462718,1.1297050320701019,-1.9335495939498368,-1.7162301346655504
디스플레이패널,0.7735964376145988,16.40076233602399,30.436135289554212,20.49796720429622
레저용장비와제품,13.581538269969833,20.044457462403567,9.84503081860323,22.377815133660476
무선통신서비스,28.08731824427366,0.6227634419967103,-8.022995968533422,-11.052786543659124
무역회사와판매업체,30.195211563307492,3.393823251199704,2.8784260797342185,14.721328211517166
문구류,6.889564336372847,1.3171225937183384,-0.9625126646403243,-13.42451874366768
반도체와반도체장비,22.445256793884337,44.64723365488832,25.36282421060591,66.591903151815
방송과엔터테인먼트,4.179992321433339,-6.1966702403300475,-2.2040897406904727,-16.71613286610324
백화점과일반상점,9.51019111139518,0.9482039943297407,12.865308229176648,43.46340282196175
복합기업,43.63560676118175,32.47671041420907,30.615348332870024,84.4618444273989
부동산,4.857755243647636,4.238659296863177,4.288840420049167,5.615709124876403
비철금속,25.100561607308236,15.290955920641077,24.978594618774533,25.79374648340166
사무용전자제품,34.99344692005242,14.941022280471822,23.197903014416777,35.255570117955436
상업서비스와공급품,12.724472319540922,7.402857419802203,9.119950328411175,4.210262366871483
